group_id,group_name,n_classes,member_jet_labels,member_class_names,contraction_applied_at_this_rung,stream_share_nominal,stream_share_exact_lower_bound,stream_share_exact_upper_bound,reweighting_groups_touched,n_reweighting_groups_touched,contains_b_and_s_class,physics_rationale
0,label_X_bb,1,0,label_X_bb,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class, unchanged from L188."
1,label_X_cc,1,1,label_X_cc,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class, unchanged from L188."
2,label_X_ss,1,2,label_X_ss,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class, unchanged from L188."
3,2P_qq_plus_cs,2,"3,5",label_X_qq label_X_cs,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.051328938292991996,0,0.230980222318464,label_X_QQ,1,0,"Two-prong X->qq' with the cs final state merged in: the label-holdout arm for endpoint S5. Both members sit inside reweighting group label_X_QQ, so the merge changes the label map and nothing else."
4,label_X_bc,1,4,label_X_bc,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class, unchanged from L188."
5,label_X_bq,1,6,label_X_bq,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class, unchanged from L188."
6,label_X_cq,1,7,label_X_cq,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class, unchanged from L188."
7,label_X_sq,1,8,label_X_sq,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.025664469146495998,0,0.230980222318464,label_X_QQ,1,0,"Native JetClass-II class, unchanged from L188."
8,label_X_gg,1,9,label_X_gg,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.028872527789808,0.028872527789808,0.028872527789808,label_X_gg,1,0,"Native JetClass-II class, unchanged from L188."
9,label_X_ee,1,10,label_X_ee,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.023098022231846396,0,0.04619604446369279,label_X_ll,1,0,"Native JetClass-II class, unchanged from L188."
10,label_X_mm,1,11,label_X_mm,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.023098022231846396,0,0.04619604446369279,label_X_ll,1,0,"Native JetClass-II class, unchanged from L188."
11,label_X_tauhtaue,1,12,label_X_tauhtaue,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0028872527789807994,0,0.005774505557961599,label_X_tauhtaul,1,0,"Native JetClass-II class, unchanged from L188."
12,label_X_tauhtaum,1,13,label_X_tauhtaum,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0028872527789807994,0,0.005774505557961599,label_X_tauhtaul,1,0,"Native JetClass-II class, unchanged from L188."
13,label_X_tauhtauh,1,14,label_X_tauhtauh,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.008661758336942398,0.008661758336942398,0.008661758336942398,label_X_tauhtauh,1,0,"Native JetClass-II class, unchanged from L188."
14,label_X_YY_bbbb,1,15,label_X_YY_bbbb,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class, unchanged from L188."
15,label_X_YY_bbcc,1,16,label_X_YY_bbcc,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class, unchanged from L188."
16,label_X_YY_bbss,1,17,label_X_YY_bbss,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,1,"Native JetClass-II class, unchanged from L188."
17,label_X_YY_bbqq,1,18,label_X_YY_bbqq,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class, unchanged from L188."
18,label_X_YY_bbgg,1,19,label_X_YY_bbgg,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.008661758336942398,0,0.03464703334776959,label_X_YY_QQgg,1,0,"Native JetClass-II class, unchanged from L188."
19,label_X_YY_bbee,1,20,label_X_YY_bbee,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.011549011115923198,0,0.09239208892738558,label_X_YY_QQll,1,0,"Native JetClass-II class, unchanged from L188."
20,label_X_YY_bbmm,1,21,label_X_YY_bbmm,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.011549011115923198,0,0.09239208892738558,label_X_YY_QQll,1,0,"Native JetClass-II class, unchanged from L188."
21,label_X_YY_bbtauhtaue,1,22,label_X_YY_bbtauhtaue,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0028872527789807994,0,0.023098022231846396,label_X_YY_QQtauhtaul,1,0,"Native JetClass-II class, unchanged from L188."
22,label_X_YY_bbtauhtaum,1,23,label_X_YY_bbtauhtaum,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0028872527789807994,0,0.023098022231846396,label_X_YY_QQtauhtaul,1,0,"Native JetClass-II class, unchanged from L188."
23,label_X_YY_bbtauhtauh,1,24,label_X_YY_bbtauhtauh,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.005774505557961599,0,0.023098022231846396,label_X_YY_QQtauhtauh,1,0,"Native JetClass-II class, unchanged from L188."
24,label_X_YY_bbb,1,25,label_X_YY_bbb,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class, unchanged from L188."
25,label_X_YY_bbc,1,26,label_X_YY_bbc,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class, unchanged from L188."
26,label_X_YY_bbs,1,27,label_X_YY_bbs,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,1,"Native JetClass-II class, unchanged from L188."
27,label_X_YY_bbq,1,28,label_X_YY_bbq,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class, unchanged from L188."
28,label_X_YY_bbg,1,29,label_X_YY_bbg,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0007218131947451999,0,0.0028872527789807994,label_X_YY_QQg,1,0,"Native JetClass-II class, unchanged from L188."
29,label_X_YY_bbe,1,30,label_X_YY_bbe,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0007218131947451999,0,0.005774505557961599,label_X_YY_QQl,1,0,"Native JetClass-II class, unchanged from L188."
30,label_X_YY_bbm,1,31,label_X_YY_bbm,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0007218131947451999,0,0.005774505557961599,label_X_YY_QQl,1,0,"Native JetClass-II class, unchanged from L188."
31,label_X_YY_cccc,1,32,label_X_YY_cccc,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class, unchanged from L188."
32,label_X_YY_ccss,1,33,label_X_YY_ccss,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class, unchanged from L188."
33,label_X_YY_ccqq,1,34,label_X_YY_ccqq,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.008399280811580508,0,0.18478417785477116,label_X_YY_QQQQ,1,0,"Native JetClass-II class, unchanged from L188."
34,label_X_YY_ccgg,1,35,label_X_YY_ccgg,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.008661758336942398,0,0.03464703334776959,label_X_YY_QQgg,1,0,"Native JetClass-II class, unchanged from L188."
35,label_X_YY_ccee,1,36,label_X_YY_ccee,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.011549011115923198,0,0.09239208892738558,label_X_YY_QQll,1,0,"Native JetClass-II class, unchanged from L188."
36,label_X_YY_ccmm,1,37,label_X_YY_ccmm,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.011549011115923198,0,0.09239208892738558,label_X_YY_QQll,1,0,"Native JetClass-II class, unchanged from L188."
37,label_X_YY_cctauhtaue,1,38,label_X_YY_cctauhtaue,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0028872527789807994,0,0.023098022231846396,label_X_YY_QQtauhtaul,1,0,"Native JetClass-II class, unchanged from L188."
38,label_X_YY_cctauhtaum,1,39,label_X_YY_cctauhtaum,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0028872527789807994,0,0.023098022231846396,label_X_YY_QQtauhtaul,1,0,"Native JetClass-II class, unchanged from L188."
39,label_X_YY_cctauhtauh,1,40,label_X_YY_cctauhtauh,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.005774505557961599,0,0.023098022231846396,label_X_YY_QQtauhtauh,1,0,"Native JetClass-II class, unchanged from L188."
40,label_X_YY_ccb,1,41,label_X_YY_ccb,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class, unchanged from L188."
41,label_X_YY_ccc,1,42,label_X_YY_ccc,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class, unchanged from L188."
42,label_X_YY_ccs,1,43,label_X_YY_ccs,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class, unchanged from L188."
43,label_X_YY_ccq,1,44,label_X_YY_ccq,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0014436263894904,0,0.028872527789808,label_X_YY_QQQ,1,0,"Native JetClass-II class, unchanged from L188."
44,label_X_YY_ccg,1,45,label_X_YY_ccg,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0007218131947451999,0,0.0028872527789807994,label_X_YY_QQg,1,0,"Native JetClass-II class, unchanged from L188."
45,label_X_YY_cce,1,46,label_X_YY_cce,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0007218131947451999,0,0.005774505557961599,label_X_YY_QQl,1,0,"Native JetClass-II class, unchanged from L188."
46,label_X_YY_ccm,1,47,label_X_YY_ccm,"one merge only: two-prong label_X_cs into label_X_qq. Both sit inside reweighting group label_X_QQ, so the sampling measure is exactly unchanged and L187 vs L188 is a pure label-only intervention (label-holdout companion to endpoint S5)",0.0007218131947451999,0,0.005774505557961599,label_X_YY_QQl,1,0,"Native JetClass-II class, unchanged from L188."
