group_id,group_name,n_classes,member_jet_labels,member_class_names,contraction_applied_at_this_rung,stream_share_nominal,stream_share_exact_lower_bound,stream_share_exact_upper_bound,reweighting_groups_touched,n_reweighting_groups_touched,contains_b_and_s_class,physics_rationale
0,2P_QQ_b,3,"0,4,6",label_X_bb label_X_bc label_X_bq,"(i) quark flavour, partially: b-content resolved, c/s/light merged",0.07699340743948799,0,0.230980222318464,label_X_QQ,1,0,"Two-prong X->QQ' containing a b: b-hadron decay length gives displaced vertices and high track multiplicity, the single strongest flavour handle inside a large-R jet."
1,2P_QQ_c,3,"1,5,7",label_X_cc label_X_cs label_X_cq,"(i) quark flavour, partially: b-content resolved, c/s/light merged",0.07699340743948799,0,0.230980222318464,label_X_QQ,1,0,"Two-prong X->QQ' with c but no b: intermediate decay length and impact parameter, separable from both b and light."
2,2P_QQ_light,3,"2-3,8",label_X_ss label_X_qq label_X_sq,"(i) quark flavour, partially: b-content resolved, c/s/light merged",0.07699340743948799,0,0.230980222318464,label_X_QQ,1,0,"Two-prong X->QQ' with no b or c (ss, qq, sq): prompt light-quark prongs, separated from gg at this rung."
3,2P_gg,1,9,label_X_gg,"(i) quark flavour, partially: b-content resolved, c/s/light merged",0.028872527789808,0.028872527789808,0.028872527789808,label_X_gg,1,0,"Two-prong X->gg: gluon prongs, wider and higher multiplicity than light-quark prongs."
4,2P_ll,2,10-11,label_X_ee label_X_mm,"(i) quark flavour, partially: b-content resolved, c/s/light merged",0.04619604446369279,0.04619604446369279,0.04619604446369279,label_X_ll,1,0,Two-prong X->ee / X->mumu; e/mu flavour contracted (this is the reweighting group label_X_ll).
5,2P_tauhtaul,2,12-13,label_X_tauhtaue label_X_tauhtaum,"(i) quark flavour, partially: b-content resolved, c/s/light merged",0.005774505557961599,0.005774505557961599,0.005774505557961599,label_X_tauhtaul,1,0,Two-prong X->tautau with one hadronic and one leptonic tau (reweighting group label_X_tauhtaul).
6,2P_tauhtauh,1,14,label_X_tauhtauh,"(i) quark flavour, partially: b-content resolved, c/s/light merged",0.008661758336942398,0.008661758336942398,0.008661758336942398,label_X_tauhtauh,1,0,"Two-prong X->tautau, both taus hadronic (reweighting group label_X_tauhtauh)."
7,34P_QQQQ_b,11,"15-18,115,118-120,123-124,126",label_X_YY_bbbb label_X_YY_bbcc label_X_YY_bbss label_X_YY_bbqq label_X_YY_qqqb label_X_YY_bbcq label_X_YY_ccbs label_X_YY_ccbq label_X_YY_qqbc label_X_YY_qqbs label_X_YY_bcsq,"(i) quark flavour, partially: b-content resolved, c/s/light merged",0.09239208892738558,0,0.18478417785477116,label_X_YY_QQQQ,1,1,"At least one b quark among the hadronic prongs: b-hadron decay length gives displaced secondary vertices resolvable inside a large-R jet. Reweighting group label_X_YY_QQQQ; R=45 restores one level of quark flavour, namely b-content."
8,34P_QQgg_b,1,19,label_X_YY_bbgg,"(i) quark flavour, partially: b-content resolved, c/s/light merged",0.008661758336942398,0,0.03464703334776959,label_X_YY_QQgg,1,0,"At least one b quark among the hadronic prongs: b-hadron decay length gives displaced secondary vertices resolvable inside a large-R jet. Reweighting group label_X_YY_QQgg; R=45 restores one level of quark flavour, namely b-content."
9,34P_QQll_b,2,20-21,label_X_YY_bbee label_X_YY_bbmm,"(i) quark flavour, partially: b-content resolved, c/s/light merged",0.023098022231846396,0,0.09239208892738558,label_X_YY_QQll,1,0,"At least one b quark among the hadronic prongs: b-hadron decay length gives displaced secondary vertices resolvable inside a large-R jet. Reweighting group label_X_YY_QQll; R=45 restores one level of quark flavour, namely b-content."
